1Jan 2Jan 3Jan 4Jan 5Jan 6Jan 7Jan 8Jan 9Jan 10Jan 11Jan 12Jan 13Jan 14Jan 15Jan 16Jan 17Jan 18Jan 19Jan 20Jan 21Jan 22Jan 23Jan 24Jan 25Jan 26Jan 27Jan 28Jan 29Jan 30Jan 31Jan 
1 1 1 2 8 2 1 1 2 3 2 2 1 1 2 2 2 2 1 1 1 1 1 9 1 1 9 1 1 1 1 
1 1 1 2 8 1 1 1 2 2 2 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 9 1 1 1 1 
1 1 1 5 9 2 1 1 2 2 2 2 1 1 1 1 1 2 1 2 1 1 1 9 1 1 9 1 1 1 1 
1 1 1 2 7 1 1 1 2 3 1 2 1 1 1 2 1 2 3 1 1 1 1 9 2 2 9 1 1 2 1 
1 1 1 2 4 1 1 1 2 2 1 1 2 1 1 2 1 1 1 1 1 1 1 9 1 2 9 1 1 2 1 
1 1 1 2 4 1 1 1 1 2 1 1 1 1 1 2 1 2 1 1 2 1 2 9 1 2 9 1 1 1 1 
2 3 3 3 4 3 1 3 3 3 5 3 3 3 3 4 3 3 3 3 4 3 3 10 3 3 11 3 3 3 3 
1 1 1 1 1 1 3 1 1 1 5 1 1 1 1 2 1 2 1 1 2 1 1 10 1 1 9 1 1 1 1 
1 1 1 2 2 2 1 1 1 2 3 2 2 2 1 2 2 2 2 2 1 1 2 10 2 2 10 2 2 2 1 
1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 9 1 1 9 1 1 1 1 
1 1 1 1 2 1 1 1 1 1 1 2 1 1 1 1 2 2 1 1 1 1 1 9 1 1 9 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 10 1 1 9 1 1 1 1 
2 2 2 2 3 2 1 2 2 2 2 2 2 2 2 2 2 2 2 2 4 2 2 11 3 2 10 2 2 2 2 
1 1 1 1 2 2 2 1 1 2 1 1 1 1 1 1 1 1 1 1 3 1 1 9 9 1 9 1 1 1 1 
1 1 1 1 2 2 1 1 2 3 2 2 1 1 1 1 1 1 1 1 2 1 1 9 9 2 9 1 1 1 1 
1 1 1 1 2 1 1 1 1 2 1 1 1 1 1 1 1 1 1 1 1 1 1 9 3 1 9 1 1 1 1 
1 1 1 1 1 2 1 1 1 3 3 1 1 1 1 1 1 2 1 1 2 1 1 9 1 2 9 1 1 1 1 
1 1 1 1 1 2 1 1 2 3 2 1 1 1 1 1 1 1 1 2 1 1 1 9 1 2 9 1 1 2 1 
1 1 1 1 1 2 1 1 1 2 2 1 1 1 1 1 2 1 1 3 1 1 1 9 1 2 9 1 1 2 1 
1 1 1 1 1 2 1 1 1 3 2 1 1 1 1 1 1 1 1 1 1 1 1 9 2 1 9 1 1 1 1 
1 1 1 1 1 2 1 1 1 2 5 1 1 1 1 1 2 1 1 1 1 1 1 9 1 2 9 1 1 1 1 
1 1 1 1 1 2 1 1 2 2 6 1 1 1 1 3 2 2 1 1 1 1 1 9 3 2 9 1 1 1 1 
1 1 1 1 2 2 1 1 1 1 4 2 2 1 1 1 2 2 1 1 1 1 1 9 9 2 9 1 1 1 1 
1 1 1 2 1 2 1 1 1 1 3 2 2 1 1 1 2 2 1 1 1 1 1 9 2 2 9 1 1 1 1 
1 1 1 2 1 2 1 1 2 2 2 2 2 1 1 2 2 2 1 1 2 1 1 9 1 2 9 1 1 2 2 
1 1 1 1 1 2 1 1 2 1 1 2 2 1 1 1 3 2 1 1 2 1 1 9 1 2 9 1 1 1 1 
1 1 1 1 1 2 1 1 2 2 3 2 2 1 1 1 2 2 1 1 1 1 1 9 1 2 9 1 1 2 2 
1 1 1 1 1 2 1 1 2 2 2 1 2 1 1 1 2 2 1 1 1 1 1 9 2 2 9 1 1 1 1 
1 1 1 1 1 2 1 1 2 1 2 2 1 1 1 1 2 1 2 1 1 1 1 9 2 2 10 1 1 1 1 
1 1 1 2 2 2 1 1 2 1 3 2 1 1 1 1 2 2 1 1 1 1 1 9 2 1 9 1 1 1 2 
1 1 1 2 2 2 1 1 2 2 4 2 2 1 1 2 2 1 1 1 1 1 2 9 2 2 10 1 1 2 1 
1 1 1 2 2 2 1 1 2 1 3 1 2 1 1 2 2 2 1 1 1 1 2 9 1 2 9 1 1 2 2 
1 1 1 1 2 1 1 1 2 1 2 1 2 1 1 2 2 1 2 1 1 1 2 9 1 2 9 1 1 2 1 
1 1 1 1 2 1 1 1 1 1 2 1 2 1 1 2 1 1 1 1 1 1 2 9 1 2 9 1 1 2 2 
1 1 1 1 1 1 1 1 2 2 1 1 1 1 1 1 2 2 1 1 1 1 2 9 1 2 9 1 1 2 1 
1 1 1 1 2 1 1 1 2 2 2 1 2 1 1 2 2 1 1 1 1 1 2 9 1 2 9 1 1 2 1 
1 1 1 1 1 2 1 1 2 2 2 2 2 1 1 2 2 2 2 1 1 1 2 9 1 2 9 1 1 2 1 
1 1 1 1 2 1 1 1 4 2 2 1 2 1 1 1 2 2 2 1 1 1 2 9 1 2 9 1 1 2 2 
1 1 1 1 2 2 1 1 2 2 2 2 2 1 1 1 3 2 2 1 1 1 2 9 1 2 9 1 3 1 1 
1 1 1 1 1 1 1 1 2 2 2 1 2 1 1 1 2 2 1 1 1 1 2 9 2 2 10 1 2 1 1 
1 1 1 1 1 2 1 1 3 2 2 1 2 1 1 2 2 2 1 1 1 1 1 9 1 2 9 1 1 2 1 
1 1 1 2 1 2 1 1 2 2 2 2 2 1 1 2 3 2 2 1 1 1 1 9 1 2 9 1 1 2 2 
1 1 1 2 1 2 1 1 2 1 2 2 2 1 1 3 2 2 2 2 1 1 2 10 2 2 9 1 1 2 2 
1 1 1 2 1 2 1 1 2 2 1 1 1 1 1 3 2 2 2 1 1 1 2 9 1 7 9 1 1 2 1 
1 1 1 2 1 2 1 1 2 2 2 2 1 1 1 1 2 1 2 1 1 1 2 9 1 9 9 1 1 2 1 
1 1 1 2 1 2 1 1 2 2 2 1 1 1 1 1 2 2 1 2 1 1 1 9 1 9 9 1 1 1 1 
1 1 1 1 1 2 1 1 2 2 2 1 2 1 1 1 2 1 1 1 1 1 2 10 1 10 9 1 1 2 1 
1 1 1 2 1 1 1 1 2 2 2 1 2 1 1 1 2 2 1 1 1 1 1 9 2 9 9 1 1 1 1 
1 4 1 4 1 5 1 1 5 2 5 2 5 1 1 5 2 4 1 5 1 1 5 10 5 10 12 1 1 7 1 
1 6 1 6 1 8 1 1 6 1 8 1 8 1 1 9 2 7 1 7 1 1 8 9 7 9 14 1 1 9 2 
1 6 1 6 1 7 1 1 6 2 8 2 6 1 1 8 1 7 1 6 1 1 9 9 8 9 14 1 1 9 2 
1 6 1 6 1 7 1 1 8 4 9 1 6 1 1 9 1 7 1 6 1 1 9 9 8 9 14 1 1 8 1 
1 6 1 6 1 7 1 1 8 2 8 1 6 1 1 6 4 6 1 6 1 1 7 9 8 10 14 1 1 7 1 
1 7 1 7 1 6 1 1 8 2 8 2 6 1 1 6 2 7 2 6 1 1 6 9 8 10 14 1 1 7 1 
1 7 1 8 2 7 1 1 8 2 7 1 7 1 1 6 2 8 1 6 1 1 6 9 7 10 16 1 1 7 2 
1 7 1 8 1 7 1 1 9 2 7 2 7 1 1 6 2 7 1 8 1 1 6 10 6 9 16 1 1 7 1 
1 7 1 8 1 8 1 1 9 3 7 1 8 1 1 6 1 5 1 8 1 1 6 10 6 10 16 1 1 7 1 
1 8 1 8 1 7 1 1 8 3 6 1 8 1 1 7 2 8 1 9 1 1 7 10 6 10 15 1 1 8 1 
1 8 1 9 2 7 1 1 9 2 7 1 8 1 1 8 3 8 1 8 1 1 7 9 6 9 15 1 1 8 1 
1 8 1 8 1 8 1 1 7 2 7 2 8 1 1 8 3 8 1 6 1 1 8 9 7 10 16 1 1 8 1 
1 8 1 8 1 8 1 1 7 3 8 1 9 1 1 7 4 8 1 7 1 1 8 9 8 10 16 1 1 8 1 
1 5 1 7 1 9 1 1 7 2 7 1 9 1 1 8 3 6 1 8 1 1 8 9 9 9 16 1 1 9 2 
1 6 1 6 1 8 1 1 7 3 7 1 8 1 1 8 2 6 1 8 1 1 8 9 8 10 15 1 1 9 2 
1 6 1 6 1 8 1 1 7 3 8 2 7 1 1 8 1 6 1 8 1 1 9 10 9 10 14 1 1 8 2 
1 6 1 6 1 6 1 1 8 2 8 2 6 1 1 8 1 6 1 8 1 1 8 10 10 10 14 1 1 8 2 
1 6 1 6 1 6 1 1 8 3 8 2 6 1 1 7 1 6 1 6 1 1 7 9 10 9 14 1 1 6 1 
1 7 1 6 1 6 1 1 8 1 9 1 6 1 1 6 1 8 1 6 1 1 6 9 9 10 14 1 1 6 2 
1 7 1 7 1 6 1 1 8 1 7 2 6 1 1 6 2 8 1 6 1 1 7 9 8 9 14 1 1 6 1 
1 7 1 7 1 6 1 1 9 2 6 2 7 1 1 6 2 8 1 6 1 1 6 9 6 9 15 1 1 6 1 
1 7 1 7 1 7 1 1 8 1 6 2 7 1 1 6 2 8 2 6 1 1 6 9 6 9 15 1 1 6 1 
1 7 1 7 1 7 1 1 8 2 6 2 7 1 1 6 2 8 1 6 1 1 7 9 6 10 16 1 1 7 1 
1 8 1 8 1 7 1 1 8 2 6 2 7 1 1 7 2 9 1 6 1 1 8 9 10 10 15 1 1 7 1 
1 8 1 9 2 7 1 1 6 2 6 1 8 1 1 7 3 9 1 6 1 1 7 10 8 10 16 1 1 7 1 
1 8 1 8 1 7 1 1 6 1 7 1 8 1 1 7 1 8 1 6 1 1 7 9 9 9 16 1 1 7 1 
